#TOP	Genes more expressed in NGT class
#BOTTOM	      Genes more expressed in DM2/IGT class
204010_s_at	1.7440279722
201034_at	1.7438869476
204209_at	1.7437674999
201395_at	1.7402404547
217968_at	1.7392451763
218830_at	1.738874197
210681_s_at	1.7388190031
216686_at	1.7381442785
210852_s_at	1.7378742695
202523_s_at	1.7376694679
218355_at	1.737460494
203044_at	1.7372426987
207012_at	1.7365341187
218923_at	1.7357395887
220602_s_at	1.7356687784
201159_s_at	1.7355611324
220094_s_at	1.7350445986
213326_at	1.7349847555
207734_at	1.7345055342
216862_s_at	1.7343775034
212296_at	1.7334388494
205407_at	1.7311198711
37577_at	1.7306170464
202925_s_at	1.7296600342
218692_at	1.7294256687
212646_at	1.7271711826
208616_s_at	1.726585865
217602_at	1.7263549566
204771_s_at	1.7261383533
213124_at	1.7259942293
206261_at	1.7259346247
211720_x_at	1.7250237465
217178_at	1.7249449492
221001_at	1.7245312929
211674_x_at	1.7244323492
207636_at	1.7240695953
201888_s_at	1.7235919237
202287_s_at	1.7235394716
211127_x_at	1.7225108147
218768_at	1.7215212584
220856_x_at	1.7211558819
212996_s_at	1.7196137905
204694_at	1.7188918591
214392_at	1.7183724642
211732_x_at	1.7183663845
209509_s_at	1.7177379131
216275_at	1.7150149345
202907_s_at	1.7146530151
206626_x_at	1.7138575315
222038_s_at	1.7136883736
207347_at	1.713126421
205511_at	1.7129428387
201609_x_at	1.7126592398
210533_at	1.712097168
207573_x_at	1.7116706371
220703_at	1.7111811638
207610_s_at	1.7110215425
205171_at	1.7106380463
632_at	1.7103543282
220322_at	1.7102599144
220361_at	1.7101963758
207517_at	1.7100768089
204492_at	1.709612608
214394_x_at	1.7092165947
207004_at	1.7090016603
220182_at	1.708940506
203423_at	1.7089015245
220783_at	1.7084786892
200636_s_at	1.7070769072
216825_s_at	1.7062196732
217671_at	1.7054499388
211972_x_at	1.705431819
222029_x_at	1.7053200006
207423_s_at	1.70517838
202811_at	1.7051512003
214804_at	1.7048640251
220206_at	1.7046627998
212578_x_at	1.702927351
216893_s_at	1.702875495
217323_at	1.7024000883
215920_s_at	1.7016130686
222361_at	1.7013067007
216525_x_at	1.700373888
202510_s_at	1.7000371218
211875_x_at	1.7000221014
204258_at	1.6993623972
219905_at	1.698554039
212909_at	1.6978508234
216165_at	1.6972886324
219308_s_at	1.6972211599
215856_at	1.6966421604
201653_at	1.6950964928
205567_at	1.6939926147
216637_at	1.6933045387
218938_at	1.6931900978
216396_s_at	1.6927849054
214558_at	1.6923280954
202073_at	1.6921111345
205686_s_at	1.6918952465
213386_at	1.6900420189
219445_at	1.6899548769
216092_s_at	1.6888346672
211524_at	1.6884293556
203762_s_at	1.6878116131
200688_at	1.6876745224
213926_s_at	1.6871031523
212175_s_at	1.6863951683
208021_s_at	1.684718132
219657_s_at	1.6846257448
202659_at	1.6835862398
203186_s_at	1.6835135221
213632_at	1.6824271679
220589_s_at	1.6821916103
203932_at	1.6820441484
204557_s_at	1.6816065311
52741_at	1.6811424494
209538_at	1.6806704998
215283_at	1.6803081036
221143_at	1.6797174215
208474_at	1.6792547703
212987_at	1.6791148186
220351_at	1.6772099733
201596_x_at	1.6755052805
211417_x_at	1.6749675274
202078_at	1.674910903
203155_at	1.6746582985
206648_at	1.6744683981
216954_x_at	1.6739176512
203046_s_at	1.6736303568
218079_s_at	1.6723083258
217487_x_at	1.6721307039
214397_at	1.6717962027
214605_x_at	1.6715433598
212995_x_at	1.6706004143
220961_s_at	1.670219183
210895_s_at	1.6701716185
221685_s_at	1.6701335907
207109_at	1.6700911522
221570_s_at	1.6693845987
210825_s_at	1.6690216064
201597_at	1.6679822206
212544_at	1.6675717831
202986_at	1.6673005819
203384_s_at	1.6670688391
220424_at	1.6669512987
215966_x_at	1.666642189
215459_at	1.6659981012
210724_at	1.6653345823
222143_s_at	1.6652911901
207881_at	1.6645115614
208221_s_at	1.663923502
220098_at	1.6639220715
205409_at	1.6637324095
219161_s_at	1.6632504463
200724_at	1.663112402
207139_at	1.6626858711
203414_at	1.6624488831
205151_s_at	1.6622563601
206896_s_at	1.661823988
213527_s_at	1.6615673304
203346_s_at	1.661547184
216955_at	1.6615325212
202956_at	1.661375165
205448_s_at	1.6603060961
217742_s_at	1.660166502
203944_x_at	1.6595340967
201897_s_at	1.65934062
206243_at	1.6593391895
214706_at	1.6589343548
208005_at	1.6573730707
205081_at	1.6571758986
215432_at	1.6561758518
214570_x_at	1.6559288502
216472_at	1.655228734
200976_s_at	1.6546123028
202421_at	1.6544387341
206705_at	1.6543312073
207988_s_at	1.6535856724
215362_at	1.6533384323
215067_x_at	1.6528633833
212376_s_at	1.652829051
221755_at	1.6525256634
200705_s_at	1.6516752243
205700_at	1.6507920027
200914_x_at	1.6503940821
216132_at	1.6502646208
219800_s_at	1.650083065
220043_s_at	1.6498478651
210142_x_at	1.6492465734
207885_at	1.6484389305
205667_at	1.6482447386
219710_at	1.6481056213
200620_at	1.6478856802
216151_at	1.6477566957
208604_s_at	1.6470342875
208697_s_at	1.6464267969
212310_at	1.6464242935
218713_at	1.6463532448
202077_at	1.6455746889
202152_x_at	1.6443141699
205063_at	1.6429905891
